Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,5.988833,6.094519,5.953605,6.052245,5.633255,3074930
2020-02-06,6.080427,6.172021,6.080427,6.157930,5.731624,3440260
2020-02-07,6.080427,6.150884,6.031108,6.045199,5.626697,4539514
2020-02-10,5.988833,6.031108,5.981788,5.995879,5.580791,2409417
2020-02-11,6.017016,6.059290,5.995879,6.009971,5.593908,1589908
2020-02-12,6.024062,6.108610,6.024062,6.087473,5.666044,2526935
2020-02-13,6.094519,6.101564,6.045199,6.052245,5.633255,2210004
2020-02-14,6.066336,6.094519,6.052245,6.073382,5.652929,1893356
2020-02-17,6.073382,6.115656,6.059290,6.101564,5.679160,1618436
2020-02-18,6.080427,6.087473,5.988833,5.995879,5.580791,4254801
2020-02-19,6.002925,6.080427,5.995879,6.038153,5.620139,2178070
2020-02-20,6.045199,6.059290,6.002925,6.024062,5.607024,2147554
2020-02-21,6.002925,6.080427,6.002925,6.038153,5.620139,3129290
2020-02-24,6.024062,6.031108,5.974742,5.974742,5.561118,3142489
2020-02-25,5.974742,6.009971,5.960651,5.960651,5.548002,3011061
2020-02-26,5.960651,5.960651,5.904285,5.918377,5.508655,3940708
2020-02-27,5.911331,5.925422,5.777463,5.862011,5.456191,5644162
2020-02-28,5.692915,5.770417,5.636549,5.636549,5.246337,8127809
2020-03-02,5.636549,5.763372,5.636549,5.742234,5.344707,5088503
2020-03-03,5.756326,5.791554,5.678823,5.707006,5.311917,4641562
2020-03-04,5.707006,5.735189,5.678823,5.728143,5.331591,2274441
2020-03-05,5.742234,5.763372,5.678823,5.685869,5.292243,2543967
2020-03-06,5.664732,5.664732,5.601321,5.608366,5.220106,3938153
2020-03-09,5.566092,5.566092,5.354722,5.354722,4.984021,7797394
2020-03-10,5.340630,5.615412,5.312448,5.552001,5.167643,4972829
2020-03-11,5.552001,5.580184,5.411087,5.411087,5.036484,4204132
2020-03-12,5.354722,5.354722,5.171534,5.171534,4.813515,5721372
2020-03-13,4.917889,5.241991,4.734701,5.072894,4.721704,8414367
2020-03-16,4.861524,4.953117,4.748793,4.748793,4.420041,7978214
2020-03-17,4.650153,4.769930,4.629016,4.664244,4.341344,6046535
2020-03-18,4.664244,4.664244,4.664244,4.664244,4.341344,0
2020-03-19,4.551513,4.551513,4.234457,4.311960,4.013449,7317668
2020-03-20,4.297869,4.368325,4.234457,4.241503,3.947869,9009341
2020-03-23,4.072407,4.072407,3.769442,3.776488,3.515046,13676309
2020-03-24,3.734214,4.149909,3.720122,4.149909,3.862616,12487497
2020-03-25,4.340143,4.600833,4.234457,4.579696,4.262649,10678589
2020-03-26,4.579696,4.579696,4.579696,4.579696,4.262649,0
2020-03-27,4.579696,4.579696,4.100589,4.283777,3.987217,26889357
2020-03-30,4.171046,4.185138,4.086498,4.086498,3.803595,9843184
2020-03-31,4.156955,4.171046,4.001950,4.044224,3.764247,9294622
2020-04-01,4.016041,4.044224,3.875127,3.917402,3.646205,5681347
2020-04-02,3.910356,4.001950,3.853990,3.980813,3.705226,5765654
2020-04-03,3.959676,3.973767,3.875127,3.875127,3.606857,4421002
2020-04-06,3.903310,4.072407,3.896264,4.051270,3.770806,4741340
2020-04-07,4.086498,4.248549,4.058315,4.248549,3.954427,5478812
2020-04-08,4.164001,4.248549,4.135818,4.213320,3.921637,4120251
2020-04-09,4.283777,4.333097,4.255594,4.319006,4.020007,3566153
2020-04-13,4.311960,4.319006,4.220366,4.319006,4.020007,3849447
2020-04-14,4.319006,4.403554,4.304914,4.403554,4.098701,4087039
2020-04-15,4.481056,4.544468,4.333097,4.347188,4.046237,5607969
2020-04-16,4.304914,4.347188,4.262640,4.333097,4.033122,3517471
2020-04-17,4.474011,4.474011,4.368325,4.389463,4.085586,3244112
2020-04-20,4.431737,4.438782,4.354234,4.389463,4.085586,2242222
2020-04-21,4.333097,4.368325,4.234457,4.234457,3.941311,5666871
2020-04-22,4.234457,4.297869,4.142863,4.269686,3.974101,5735707
2020-04-23,4.269686,4.326051,4.227412,4.326051,4.026564,4908676
2020-04-24,4.311960,4.311960,4.248549,4.255594,3.960984,2732167
2020-04-27,4.297869,4.311960,4.262640,4.290823,3.993775,2656518
2020-04-28,4.290823,4.290823,4.192183,4.234457,3.941311,5601299
2020-04-29,4.248549,4.290823,4.241503,4.290823,3.993775,4840691
2020-04-30,4.255594,4.326051,4.255594,4.304914,4.006890,10581225
2020-05-04,4.227412,4.227412,4.178092,4.192183,3.901963,11795726
2020-05-05,4.192183,4.220366,4.149909,4.164001,3.875732,12779591
2020-05-06,4.200000,5.040000,4.150000,4.400000,4.095394,48790700
2020-05-08,4.550000,4.600000,4.220000,4.410000,4.104701,27158100
2020-05-11,4.470000,4.470000,4.350000,4.410000,4.104701,6426600
2020-05-12,4.370000,4.380000,4.280000,4.290000,3.993008,7639300
2020-05-13,4.100000,4.150000,4.000000,4.000000,3.723085,21389400
2020-05-14,3.900000,3.900000,3.700000,3.810000,3.546238,27120600
2020-05-15,3.890000,3.920000,3.800000,3.900000,3.630008,21601536
2020-05-18,3.860000,3.860000,3.720000,3.720000,3.462469,20771700
2020-05-19,3.830000,3.860000,3.700000,3.700000,3.443854,21654700
2020-05-20,3.670000,3.680000,3.530000,3.570000,3.322853,24201000
2020-05-21,3.580000,3.710000,3.570000,3.640000,3.388007,28520000
2020-05-22,3.680000,3.750000,3.610000,3.630000,3.378700,13228500
2020-05-26,3.650000,3.670000,3.580000,3.600000,3.350776,11789000
2020-05-27,3.630000,3.770000,3.620000,3.760000,3.499700,12807900
2020-05-28,3.810000,3.860000,3.760000,3.820000,3.555546,16266700
2020-05-29,3.820000,3.820000,3.760000,3.820000,3.555546,16550946
2020-06-01,3.820000,3.950000,3.790000,3.880000,3.611393,12786100
2020-06-02,3.930000,4.120000,3.920000,4.110000,3.825470,16171800
2020-06-03,4.180000,4.480000,4.180000,4.310000,4.011624,27208700
2020-06-04,4.380000,4.500000,4.330000,4.380000,4.076778,24901000
2020-06-05,4.390000,4.410000,4.150000,4.330000,4.030240,32941300
2020-06-08,4.280000,4.390000,4.190000,4.290000,3.993008,44150800
2020-06-09,4.360000,4.380000,4.300000,4.320000,4.020932,20603100
2020-06-10,4.350000,4.360000,4.280000,4.350000,4.048854,13696700
2020-06-11,4.290000,4.310000,4.190000,4.200000,3.909239,15734400
2020-06-12,4.060000,4.190000,4.000000,4.160000,3.872008,17712700
